sku,product_name,unit,barcode,size_grams,source_sheet,source_row
RB-HG-0005,Hom Glai : Jao Nang Doi  Khun Lao 250 G,Pcs,8857109006226,250,Sheet1,1356
RB-HG-0008,Hom Glai : Yellow Catimor Dry Process 250 G,Pcs,8857109006325,250,Sheet1,1357
RB-HG-0004,Hom Glai Doi Chang250 G,Pcs,8857109006219,250,Sheet1,1358
RB-HG-0003,Hom Glai Doi Pahee 250 G,Pcs,8857109006202,250,Sheet1,1359
RB-HK-0493,Honduras Arabica Specialty Roasted 200 g.,pcs,8857109061966,200,Sheet1,1361
RB-HK-0234,Kanom Arabica Specialty Roasted 200 g.,Pcs,8857109095473,200,Sheet1,1462
RB-HK-0233,Kanom Arabica Specialty Roasted 500 g.,pcs,8857109095466,500,Sheet1,1463
RB-HK-0427,Kenya Kiambu Ndumberi AB Arabica Specialty Roasted 200 g.,pcs,8857109099457,200,Sheet1,1470
RB-HK-0428,Kenya Kirinyaga Nguguini AA Arabica Specialty Roasted 200 g.,pcs,8857109099464,200,Sheet1,1471
RB-HK-0232,Merida Arabica Specialty Roasted 200 g.,pcs,8857109095459,200,Sheet1,1829
RB-HK-0231,Merida Arabica Specialty Roasted 500 g.,Pcs,8857109095442,500,Sheet1,1830
RB-HK-0387,Mix Berry Arabica Specialty Roasted 200 g.,Pcs,8857109098030,200,Sheet1,1860
RB-HK-0388,Mix Berry Arabica Specialty Roasted 500 g.,Pcs,8857109098054,500,Sheet1,1861
RB-HK-0343,Nebula Arabica Specialty Roasted 200 g.,Pcs,8857109096111,200,Sheet1,2018
RB-HK-0342,Nebula Arabica Specialty Roasted 500 g.,Pcs,8857109096104,500,Sheet1,2019
RB-HK-0174,Omkoi Organic 200 g. ( Hillkoff 's Selection roasted),Pcs,"8857109258448, 8857109095404",200,Sheet1,2051
RB-HK-0177,Omkoi Organic 500 g. ( Hillkoff 's Selection roasted),Pcs,8857109684578,500,Sheet1,2052
RB-HK-0433,Organic Single Origin Mae Salong  Roasted 250 g (Bean),Pcs,8857109099518,250,Sheet1,2060
RB-HK-0431,Organic Single Origin Mae Sam Laep Roasted 250 g (Bean),Pcs,8857109099495,250,Sheet1,2061
RB-HK-0549,Organic Single Origin Mae Song Roasted 250 g (Bean),Pcs,8857109069504,250,Sheet1,2062
RB-HK-0429,Organic Single Origin Omkoi  Roasted 250 g (Bean),Pcs,8857109099471,250,Sheet1,2063
RB-HK-0551,Organic Single Origin Pang Ma-O Roasted 250 g (Bean),Pcs,8857109069535,250,Sheet1,2064
RB-HK-0550,Organic Single Origin Sop Moei Roasted 250 g (Bean),Pcs,8857109069511,250,Sheet1,2065
RB-HK-0552,Organic Single Origin Wa wee  Roasted 250 g (Bean),Pcs,8857109069542,250,Sheet1,2066
RB-HK-0230,Quasar Arabica Specialty Roasted 200 g.,Pcs,8857109095428,200,Sheet1,2277
RB-HK-0229,Quasar Arabica Specialty Roasted 500 g.,Pcs,8857109095411,500,Sheet1,2278
RB-HK-0217,Rigel Arabica Specialty Roasted 200 g.,Pcs,8857109095282,200,Sheet1,2306
RB-RT-0062,Robusta french roast (B) 250 g,Pcs,8857109000583,250,Sheet1,2309
