sku,product_name,unit,barcode,source_sheet,source_row
RB-HK-0104,All Cafe Roasted Coffee Beans Golg Blend 500 g.,pcs,2005002940000,Sheet1,192
RB-RT-0054,Aor Me Lee Blend (B) 500 g,Pcs,8857109000736,Sheet1,225
RB-HK-0219,ARABICA I2+ Thai Arabica Wet Process 250 g.,pcs,8857109095305,Sheet1,242
RB-HK-0203,Beautiful Lady 200 g. ( Hillkoff 's Selection roasted),Pcs,8857109038371,Sheet1,313
RB-HK-0202,Beautiful Lady 500 g. ( Hillkoff 's Selection roasted),Pcs,8857109038388,Sheet1,314
RB-HK-0424,Brazil Natural Arabica Roasted 250g,Pcs,8857109099402,Sheet1,489
RB-HK-0421,Brazil Natural Arabica Roasted 500g,pcs,8857109099297,Sheet1,490
RB-HK-0420,Brazil Natural Arabica Specialty Roasted 200g,pcs,8857109099280,Sheet1,491
RB-HK-0151,Chom Phu 100% Arabica coffee 500 g (ห้ามจำหน่าย),pcs,8857109017123,Sheet1,598
RB-OR-0112,Coffee Cinnamon Roast 500 g.,pcs,,Sheet1,623
RB-OR-0063,Coffee d  soft blend   250g,Pcs,8857109001818,Sheet1,624
RB-OR-0062,Coffee d Amaro  250 g,Pcs,8857109001283,Sheet1,625
RB-OR-0061,Coffee d dark   250g,Pcs,8857109001290,Sheet1,626
RB-OR-0091,Coffee D Kong Mu 250g,pcs,8857109099303,Sheet1,627
IG-HK-0503,Cold Brew Coffee Doi Chang 750 ml. (Light Roast),Pcs,8857109092236,Sheet1,650
IG-HK-0569,Cold brew X-mas blend 750 ml.,Pcs,8857109025838,Sheet1,653
RB-HK-0425,Colombia Huila Supremo Arabica Specialty Roasted 200g,pcs,8857109099419,Sheet1,656
RB-HK-0440,Colombia Santander Natural Arabica Roasted 250 g,Pcs,8857109099631,Sheet1,657
RB-HK-0443,Colombia Santander Natural Arabica Roasted 500 g,Pcs,8857109099679,Sheet1,658
RB-HK-0422,Costa Rica Arabica Specialty Roasted 200g,pcs,8857109101518,Sheet1,661
RB-HK-0458,Ethiopia Kurume Gedeb Dancher G1 Arabica Specialty Roasted 200g,Pcs,8857109061867,Sheet1,839
RB-HK-0442,Ethiopia Sidama Bombe Arabica Specialty Roasted 200g,Pcs,8857109099655,Sheet1,840
RB-HK-0459,Ethiopia Wolisho Guji Hambela Natural G2 Arabica Specialty Roasted 200g,Pcs,8857109061874,Sheet1,841
RB-HK-0460,Ethiopia Wolisho Guji Hambela Wasbed G2 Arabica Specialty Roasted 200g,Pcs,8857109061881,Sheet1,842
RB-HK-0441,Ethiopia Yirgacheffe Halo G1 Arabica Specialty Roasted 200g,pcs,8857109099648,Sheet1,843
RB-HK-0401,FF : Dulapur Arabica Specialty Roasted 100 g.,Pcs,8857109099136,Sheet1,883
RB-HK-0402,FF : Dulapur Arabica Specialty Roasted 250 g.,Pcs,8857109099143,Sheet1,884
RB-HK-0403,FF : Mae Au Kor Arabica Specialty Roasted 100 g.,Pcs,8857109099150,Sheet1,895
RB-HK-0482,FF : Mae Hong Son Coffee Capsules 5 g.*10 Capsules,Pcs,8857109061898,Sheet1,896
RB-HK-0405,FF : Sop Moei Arabica Specialty Roasted 100 g.,pcs,8857109099174,Sheet1,904
RB-HK-0406,FF : Sop Moei Arabica Specialty Roasted 250 g.,Pcs,8857109099181,Sheet1,905
RB-HK-0531,FF :Hua Mae Surin - Mae Hong Son Drip Coffee (Box),Pcs,8857109069412,Sheet1,920
RB-HK-0524,FF :Huay Mai Dam - Mae Hong Son Drip Coffee (Box),Pcs,8857109069337,Sheet1,921
RB-HK-0525,FF :Huay Makhuea Som - Mae Hong Son Drip Coffee (Box),Pcs,8857109069344,Sheet1,922
RB-HK-0527,FF :Huay Mee - Mae Hong Son Drip Coffee (Box),Pcs,8857109069375,Sheet1,923
RB-HK-0523,FF :Huay Pu Ling - Mae Hong Son Drip Coffee (Box),Pcs,8857109069320,Sheet1,924
RB-HK-0529,FF :Mae Au Kor - Mae Hong Son Drip Coffee (Box),Pcs,8857109069399,Sheet1,925
RB-HK-0530,FF :Mae Au Kor Noi - Mae Hong Son Drip Coffee (Box),pcs,8857109069405,Sheet1,926
RB-HK-0528,FF :Mae Ho - Mae Hong Son Drip Coffee (Box),Pcs,8857109069382,Sheet1,927
RB-HK-0532,FF :Mae Sam Leap - Mae Hong Son Drip Coffee (Box),Pcs,8857109069429,Sheet1,928
RB-HK-0526,FF :Pha Charoen - Mae Hong Son Drip Coffee (Box),Pcs,8857109069351,Sheet1,929
RB-OR-0075,Frank Coffee Arabica Thai 500กรัม,Pcs,8857109038562,Sheet1,1026
RB-HK-0399,Galatte Arabica Specialty Roasted 200 g.,Pcs,8857109099112,Sheet1,1044
RB-HK-0400,Galatte Arabica Specialty Roasted 500 g.,Pcs,8857109099129,Sheet1,1045
RB-RT-0102,HK : Aor Me Lee Blend 250 g (Bean),Pcs,8857109003546,Sheet1,1162
RB-RT-0103,HK : Aor Me Lee Blend 500 g (Bean),pcs,8857109003553,Sheet1,1163
RB-HK-0360,HK : Arabica I2+ Thai Arabica Wet Process 250 g.,Pcs,8857109096289,Sheet1,1164
RB-HK-0361,HK : Arabica I2+ Thai Arabica Wet Process 500 g.,Pcs,8857109096296,Sheet1,1165
RB-HK-0553,HK : Berry Orbit Roasted 100 g (Bean),Pcs,8857109069559,Sheet1,1173
RB-HK-0345,HK : Black Thai Roast 250 g (Bean),Pcs,8857109096135,Sheet1,1174
RB-HK-0347,HK : Black Thai Roast 500 g (Bean),Pcs,8857109096159,Sheet1,1177
RB-RT-0100,HK : Blaze Blend 250 g (Bean),Pcs,8857109003522,Sheet1,1178
RB-RT-0101,HK : Blaze Blend 500 g (Bean),Pcs,8857109003539,Sheet1,1179
RB-HK-0353,HK : City Roast 250 g (Bean),Pcs,8857109096210,Sheet1,1180
RB-HK-0355,HK : City Roast 500 g (Bean),Pcs,8857109096234,Sheet1,1181
RB-RT-0094,HK : Classic Blend 250 g (Bean),Pcs,8857109003430,Sheet1,1182
RB-RT-0095,HK : Classic Blend 500 g (Bean),Pcs,8857109003447,Sheet1,1183
RB-HK-0547,HK : Doi Chang  Roasted 250 g (Bean) Plus,pcs,,Sheet1,1184
RB-RT-0096,HK : Extreme Blend 250 g (Bean),Pcs,8857109003454,Sheet1,1185
RB-RT-0097,HK : Extreme Blend 500 g (Bean),pcs,8857109003461,Sheet1,1186
RB-HK-0363,HK : French Roast 250 g (Bean),Pcs,8857109096319,Sheet1,1187
RB-HK-0365,HK : French Roast 500 g (Bean),Pcs,8857109096333,Sheet1,1189
RB-HK-0373,HK : Hom-La-Mai Roast 250 g (Bean),Pcs,8857109096432,Sheet1,1193
RB-HK-0375,HK : Hom-La-Mai Roast 500 g (Bean),Pcs,8857109096456,Sheet1,1194
RB-RT-0090,HK : Maxx Blend 250 g (Bean),Pcs,8857109003270,Sheet1,1195
RB-RT-0091,HK : Maxx Blend 500 g (Bean),Pcs,8857109003294,Sheet1,1196
RB-HK-0566,HK : Midnight Tiramisu Roasted 100 g (Bean),pcs,8857109069597,Sheet1,1198
RB-HK-0554,HK : Nova Fruity Roasted 100 g (Bean),Pcs,8857109069566,Sheet1,1218
RB-HK-0370,HK : Omkoi Organic Roasted 250 g.,Pcs,8857109096401,Sheet1,1219
RB-HK-0371,HK : Omkoi Organic Roasted 500 g.,Pcs,8857109096418,Sheet1,1220
RB-HK-0555,HK : Plum Elipse Roasted 100 g (Bean),Pcs,8857109069573,Sheet1,1221
RB-RT-0112,HK : Robusta black roast 500 g (Bean),Pcs,8857109003829,Sheet1,1222
RB-RT-0104,HK : Robusta french roast 250 g (Bean),Pcs,8857109003577,Sheet1,1223
RB-RT-0105,HK : Robusta french roast 500 g (Bean),Pcs,8857109003584,Sheet1,1224
RB-RT-0106,HK : Robusta Italian roast 250 g (Bean),Pcs,8857109003591,Sheet1,1226
RB-RT-0107,HK : Robusta Italian roast 500 g (Bean),Pcs,8857109003607,Sheet1,1227
RB-RT-0098,HK : Royal Blend 250 g (Bean),Pcs,8857109003508,Sheet1,1229
RB-RT-0099,HK : Royal Blend 500 g (Bean),Pcs,8857109003515,Sheet1,1230
RB-HK-0450,HK : Samoeng Arabica Specialty Roasted 200g,Pcs,8857109099747,Sheet1,1231
RB-HK-0357,HK : Special Mild Roast 250 g  (Bean),Pcs,8857109096258,Sheet1,1232
RB-HK-0359,HK : Special Mild Roast 500 g (Bean),Pcs,8857109096272,Sheet1,1233
RB-RT-0092,HK : Supremo Blend 250 g (Bean),Pcs,8857109003409,Sheet1,1234
RB-RT-0093,HK : Supremo Blend 500 g (Bean),Pcs,8857109003423,Sheet1,1235
RB-RT-0120,HK : Supremo Blend 500 g (Bean) TB,Pcs,,Sheet1,1236
RB-HK-0366,HK : Thai Arabica Dry Process 250 g,Pcs,8857109096340,Sheet1,1237
RB-HK-0367,HK : Thai Arabica Dry Process 500 g,Pcs,8857109096357,Sheet1,1238
RB-HK-0368,HK : Thai Arabica Honey Process 250 g,Pcs,8857109096364,Sheet1,1239
RB-HK-0369,HK : Thai Arabica Honey Process 500 g,Pcs,8857109096371,Sheet1,1240
RB-HK-0349,HK : Thai Espresso Roast 250 g (Bean) Low Carbon Coffee,Pcs,8857109096173,Sheet1,1241
RB-HK-0351,HK : Thai Espresso Roast 500 g (Bean) Low Carbon Coffee,Pcs,8857109096197,Sheet1,1243
RB-HG-0011,Hom Glai : Doi Phatang 250 G,pcs,8857109007001,Sheet1,1355
RB-HG-0005,Hom Glai : Jao Nang Doi  Khun Lao 250 G,Pcs,8857109006226,Sheet1,1356
RB-HG-0008,Hom Glai : Yellow Catimor Dry Process 250 G,Pcs,8857109006325,Sheet1,1357
RB-HG-0004,Hom Glai Doi Chang250 G,Pcs,8857109006219,Sheet1,1358
RB-HG-0003,Hom Glai Doi Pahee 250 G,Pcs,8857109006202,Sheet1,1359
RB-HK-0493,Honduras Arabica Specialty Roasted 200 g.,pcs,8857109061966,Sheet1,1361
RB-HK-0484,Intenso Coffee Capsules 5 g.*10 Capsules,pcs,8857109061928,Sheet1,1390
RB-HK-0234,Kanom Arabica Specialty Roasted 200 g.,Pcs,8857109095473,Sheet1,1462
RB-HK-0233,Kanom Arabica Specialty Roasted 500 g.,pcs,8857109095466,Sheet1,1463
RB-HK-0427,Kenya Kiambu Ndumberi AB Arabica Specialty Roasted 200 g.,pcs,8857109099457,Sheet1,1470
RB-HK-0428,Kenya Kirinyaga Nguguini AA Arabica Specialty Roasted 200 g.,pcs,8857109099464,Sheet1,1471
RB-HK-0232,Merida Arabica Specialty Roasted 200 g.,pcs,8857109095459,Sheet1,1829
RB-HK-0231,Merida Arabica Specialty Roasted 500 g.,Pcs,8857109095442,Sheet1,1830
RB-HK-0387,Mix Berry Arabica Specialty Roasted 200 g.,Pcs,8857109098030,Sheet1,1860
RB-HK-0388,Mix Berry Arabica Specialty Roasted 500 g.,Pcs,8857109098054,Sheet1,1861
RB-HK-0215,MIXED  Process:Selected & Innovation Process 10g.*5 ซอง,5Pcs.,8857109095244,Sheet1,1862
RB-HK-0343,Nebula Arabica Specialty Roasted 200 g.,Pcs,8857109096111,Sheet1,2018
RB-HK-0342,Nebula Arabica Specialty Roasted 500 g.,Pcs,8857109096104,Sheet1,2019
RB-HK-0174,Omkoi Organic 200 g. ( Hillkoff 's Selection roasted),Pcs,"8857109258448, 8857109095404",Sheet1,2051
RB-HK-0177,Omkoi Organic 500 g. ( Hillkoff 's Selection roasted),Pcs,8857109684578,Sheet1,2052
RB-HK-0157,ORGANIC HOM KHAO HILLKOFF - HONEY PROCESS PROCESS 10g*8,Pcs,8857109012814,Sheet1,2059
RB-HK-0433,Organic Single Origin Mae Salong  Roasted 250 g (Bean),Pcs,8857109099518,Sheet1,2060
RB-HK-0431,Organic Single Origin Mae Sam Laep Roasted 250 g (Bean),Pcs,8857109099495,Sheet1,2061
RB-HK-0549,Organic Single Origin Mae Song Roasted 250 g (Bean),Pcs,8857109069504,Sheet1,2062
RB-HK-0429,Organic Single Origin Omkoi  Roasted 250 g (Bean),Pcs,8857109099471,Sheet1,2063
RB-HK-0551,Organic Single Origin Pang Ma-O Roasted 250 g (Bean),Pcs,8857109069535,Sheet1,2064
RB-HK-0550,Organic Single Origin Sop Moei Roasted 250 g (Bean),Pcs,8857109069511,Sheet1,2065
RB-HK-0552,Organic Single Origin Wa wee  Roasted 250 g (Bean),Pcs,8857109069542,Sheet1,2066
RB-HK-0230,Quasar Arabica Specialty Roasted 200 g.,Pcs,8857109095428,Sheet1,2277
RB-HK-0229,Quasar Arabica Specialty Roasted 500 g.,Pcs,8857109095411,Sheet1,2278
RB-HK-0217,Rigel Arabica Specialty Roasted 200 g.,Pcs,8857109095282,Sheet1,2306
RB-RT-0062,Robusta french roast (B) 250 g,Pcs,8857109000583,Sheet1,2309
RB-HK-0201,Sexy Wine 200 g. ( Hillkoff 's Selection roasted),Pcs,8857109038982,Sheet1,2435
RB-HK-0200,Sexy Wine 500 g. ( Hillkoff 's Selection roasted),Pcs,8857109038968,Sheet1,2436
RB-HK-0449,Single Origin Chiang Dao  Roasted 250 g (Bean),pcs,8857109099730,Sheet1,2450
RB-HK-0430,Single Origin Doi Chang  Roasted 250 g (Bean),Pcs,8857109099488,Sheet1,2451
RB-HK-0447,Single Origin Doi Sam Muen  Roasted 250 g (Bean),Pcs,8857109099723,Sheet1,2452
RB-HK-0454,Single Origin Huai Hom Mae hong son Roasted 250 g (Bean),Pcs,8857109090102,Sheet1,2453
RB-HK-0445,Single origin Khun Kong (D)  250 g,Pcs,8857109099693,Sheet1,2454
RB-HK-0439,Single Origin Mae Au Kor Roasted 250 g (Bean),Pcs,8857109099624,Sheet1,2455
RB-HK-0432,Single Origin Mae Morn  Roasted 250 g (Bean),Pcs,8857109099501,Sheet1,2456
RB-HK-0434,Single Origin Mae Salong  Roasted 250 g (Bean),Pcs,8857109099525,Sheet1,2457
RB-HK-0451,Single origin Maeai (H)250 g,Pcs,8857109099754,Sheet1,2458
RB-HK-0446,Single Origin Pang Keud  Roasted 250 g (Bean),Pcs,8857109099709,Sheet1,2459
RB-HK-0438,Single Origin Sop Moei  Roasted 250 g (Bean),Pcs,8857109099617,Sheet1,2460
RB-HK-0167,Sweet of LaoWu  200 g. ( Hillkoff 's Selection roasted),Pcs,8857109083098,Sheet1,2506
RB-HK-0166,Sweet of LaoWu 500 g. ( Hillkoff 's Selection roasted),Pcs,8857109083074,Sheet1,2507
RB-TK-0003,Ta Kang : TA KLOM (B) 500g ( Blue Bag),Pcs,8857109002761,Sheet1,2527
RB-TK-0005,Ta Kang : TA SAI (B) 500g ( Blue Bag),pcs,8857109002259,Sheet1,2528
RB-TK-0001,Ta Kang : TA TOW (B) 500g ( Blue Bag),Pcs,8857109010209,Sheet1,2529
RB-OR-0087,Tao Bin Dark Roast Coffee 250 g.,Pcs,8858840701050,Sheet1,2587
RB-HK-0164,THAI ARABICA - ANAEROBIC PROCESS 10 g,Pcs,8857109007254,Sheet1,2610
RB-HK-0194,THAI ARABICA - DRY PROCESS  10g.,Pcs,8857109059000,Sheet1,2612
RB-HK-0196,THAI ARABICA - HONEY PROCESS  10g.,5Pcs.,8857109095220,Sheet1,2613
RB-HK-0195,THAI ARABICA - WET PROCESS  10g.,Pcs,8857109058997,Sheet1,2615
RB-HK-0163,THAI ARABICA - WINE PROCESS 10 g,5Pcs.,8857109095275,Sheet1,2617
RB-HK-0483,Thai Espresso Coffee Capsules 5 g.*10 Capsules,pcs,8857109061904,Sheet1,2619
RB-HK-0382,Ywangan Arabica Specialty Roasted 200 g.,pcs,8857109097071,Sheet1,2837
RB-OR-0064,กาแฟ  coffee cube 250 กรัม,Pcs,8857109003317,Sheet1,2889
RB-OR-0110,กาแฟ 3 ดอย 500 กรัม,Pcs,8857109062017,Sheet1,2890
RB-CB-0001,กาแฟ Allday Hillkoff 1 kg. สูตร 1,Pcs,8857109010216,Sheet1,2891
RB-CB-0002,กาแฟ Allday Hillkoff 1 kg. สูตร 2,Pcs,8857109010223,Sheet1,2892
RB-CB-0003,กาแฟ Allday Hillkoff 1 kg. สูตร 3,Pcs,8857109010230,Sheet1,2893
IG-HK-0740,กาแฟ Hillkoff Instant Spray Dry 2 g.*20 ซอง,pcs,8857109086259,Sheet1,2894
IG-HK-0458,กาแฟ Instant HG-30 : 20 กก/ถุง,Kgs,8857109004369,Sheet1,2895
RB-OR-0065,กาแฟ วรรณกร เบลนด์ 500 กรัม,Pcs,8857109003324,Sheet1,2896
RB-HK-0061,กาแฟซองแดง French 250 กรัม,Pcs,8857109002741,Sheet1,2898
RB-HK-0015,กาแฟซองแดง French 500 กรัม,Pcs,8857109002754,Sheet1,2899
RB-HK-0095,กาแฟซองแดง Italian 250 กรัม,Pcs,8857109011237,Sheet1,2900
RB-HK-0060,กาแฟซองแดง Italian 500 กรัม,Pcs,8857109002730,Sheet1,2901
RB-OR-0070,กาแฟเบลนด์ คอฟฟี่อะเดย์ 500 กรัม สูตร 2,Pcs,8857109022110,Sheet1,2902
IG-HK-0050,กาแฟโบราณ ลุงเป๋อ #2 ช้างม่อย,pcs,8857109010124,Sheet1,2903
IG-HK-0051,กาแฟโบราณ ลุงเป๋อ #3 ท่าแพ,Pcs,8857109010117,Sheet1,2904
RB-OR-0098,กาแฟราติก้าสปีดบาร์ สูตร 1,Kgs,,Sheet1,2905
RB-OR-0101,กาแฟราติก้าสปีดบาร์ สูตร 4  (ร้อน 2),Kgs,,Sheet1,2906
RB-OR-0102,กาแฟราติก้าสปีดบาร์ สูตร 5  (เย็น 2),Kgs,,Sheet1,2907
IG-HK-0043,กาแฟสำเร็จรูปอราบิก้า HK Arabica Espresso 1000 g.,Pcs,"8857109002645, 8857109002723",Sheet1,2908
RB-OR-0023,กาแฟสูตร 1 500g,Pcs,8857109001979,Sheet1,2909
RB-OR-0024,กาแฟสูตร 2 500 g,Pcs,8857109001986,Sheet1,2910
RB-OR-0025,กาแฟสูตร 3 500g,Pcs,8857109001993,Sheet1,2911
RB-OR-0026,กาแฟสูตร 4 500g,Pcs,8857109002006,Sheet1,2912
RB-OR-0054,กาแฟสูตรเชียงดาว,Pcs,8857109001942,Sheet1,2913
RB-OR-0028,กาแฟสูตรนิศารัตน์ No 6 500 g.,Pcs,,Sheet1,2914
RB-OR-0039,กาแฟสูตรเบลนด์ มนต์นมสด 500 g.,Pcs,8857109000515,Sheet1,2915
RB-OR-0020,กาแฟสูตรราชดำเนิน 1000 g.,Kgs,8857109001931,Sheet1,2916
RB-OR-0057,กาแฟสูตรร้านเค้กกาแฟสด 1 kg.,Kgs,5588550104744,Sheet1,2917
RB-OR-0001,เกษม Dark Roasted ถุงใส 1 กก,Kgs,,Sheet1,2921
RB-OR-0002,เกษม Medium Roasted ถุงใส 1 กก,Kgs,,Sheet1,2922
RB-OR-0004,เกษม Vienna Roasted ถุงใส 1 กก,Kgs,,Sheet1,2923
RB-OR-0009,คุณชู Blue Mountain (B)  500 g,pcs,8857109001856,Sheet1,2986
RB-OR-0007,คุณชู Dark Roast  500 กรัม,pcs,8857109000569,Sheet1,2987
RB-OR-0015,วนัสนันท์สูตรเย็น 1000 g,Kgs,8857109001887,Sheet1,3291
